17.11.2019 22:30:29, heart of exchange (detector_0011) started to beat, 0
17.11.2019 22:36:44, heart of exchange (detector_0011) started to beat, 0
17.11.2019 22:43:44, heart of exchange (detector_0011) started to beat, 0
17.11.2019 22:44:18, Customer arraived, 405140
17.11.2019 22:44:39, Customer left, 21176
17.11.2019 22:50:42, heart of exchange (detector_0011) started to beat, 0
